iter	Passed	Remaining
727	911	340
728	912	339
729	913	337
730	914	336
731	915	335
732	916	333
733	917	332
734	918	331
735	919	329
736	919	328
737	920	326
738	921	325
739	922	324
740	923	322
741	924	321
742	925	320
743	926	318
744	927	317
745	927	315
746	928	314
747	929	313
748	930	311
749	931	310
750	932	309
751	933	307
752	934	306
753	935	305
754	936	303
755	937	302
756	938	301
757	939	300
758	940	298
759	941	297
760	942	296
761	943	294
762	945	293
763	947	292
764	948	291
765	950	290
766	951	288
767	952	287
768	953	286
769	954	285
770	955	283
771	956	282
772	958	281
773	959	280
774	960	278
775	961	277
776	963	276
777	964	275
778	965	273
779	966	272
780	967	271
781	968	270
782	969	268
783	971	267
784	971	266
785	973	264
786	974	263
787	975	262
788	976	261
789	977	259
790	979	258
791	980	257
792	981	256
793	982	254
794	983	253
795	984	252
796	985	251
797	986	249
798	987	248
799	988	247
800	989	245
801	990	244
802	991	243
803	993	242
804	994	240
805	995	239
806	996	238
807	998	237
808	999	235
809	1000	234
810	1001	233
811	1002	232
812	1005	231
813	1006	230
814	1008	228
815	1009	227
816	1010	226
817	1011	225
818	1012	223
819	1013	222
820	1015	221
821	1016	220
822	1017	218
823	1018	217
824	1019	216
825	1020	214
826	1021	213
827	1022	212
828	1023	211
829	1023	209
830	1024	208
831	1025	207
832	1026	205
833	1027	204
834	1028	203
835	1029	202
836	1031	200
837	1032	199
838	1033	198
839	1034	197
840	1035	195
841	1036	194
842	1038	193
843	1039	192
844	1040	190
845	1041	189
846	1042	188
847	1043	186
848	1044	185
849	1045	184
850	1047	183
851	1048	182
852	1049	180
853	1050	179
854	1051	178
855	1052	176
856	1052	175
857	1053	174
858	1054	173
859	1055	171
860	1056	170
861	1057	169
862	1058	167
863	1059	166
864	1060	165
865	1061	164
866	1061	162
867	1062	161
868	1063	160
869	1064	159
870	1065	157
871	1066	156
872	1067	155
873	1068	153
874	1069	152
875	1069	151
876	1070	150
877	1071	148
878	1072	147
879	1073	146
880	1074	145
881	1075	143
882	1076	142
883	1077	141
884	1078	140
885	1079	138
886	1080	137
887	1081	136
888	1082	135
889	1083	133
890	1084	132
891	1085	131
892	1086	130
893	1087	128
894	1088	127
895	1089	126
896	1090	125
897	1091	124
898	1092	122
899	1093	121
900	1094	120
901	1095	119
902	1096	117
903	1097	116
904	1098	115
905	1099	114
906	1100	112
907	1101	111
908	1102	110
909	1102	109
910	1103	107
911	1104	106
912	1105	105
913	1106	104
914	1107	102
915	1108	101
916	1109	100
917	1110	99
918	1111	97
919	1111	96
920	1112	95
921	1113	94
922	1114	92
923	1115	91
924	1116	90
925	1117	89
926	1118	88
927	1119	86
928	1120	85
929	1121	84
930	1121	83
931	1122	81
932	1123	80
933	1124	79
934	1125	78
935	1126	77
936	1127	75
937	1128	74
938	1128	73
939	1129	72
940	1130	70
941	1131	69
942	1132	68
943	1133	67
944	1134	66
945	1135	64
946	1135	63
947	1136	62
948	1137	61
949	1138	59
950	1139	58
951	1140	57
952	1141	56
953	1142	55
954	1143	53
955	1144	52
956	1145	51
957	1146	50
958	1147	49
959	1148	47
960	1149	46
961	1150	45
962	1151	44
963	1152	43
964	1153	41
965	1154	40
966	1155	39
967	1156	38
968	1157	37
969	1158	35
970	1159	34
971	1159	33
972	1160	32
973	1161	31
974	1162	29
975	1163	28
976	1164	27
977	1165	26
978	1166	25
979	1167	23
980	1168	22
981	1169	21
982	1169	20
983	1170	19
984	1171	17
985	1172	16
986	1173	15
987	1174	14
988	1175	13
989	1176	11
990	1177	10
991	1178	9
992	1178	8
993	1179	7
994	1180	5
995	1181	4
996	1182	3
997	1183	2
998	1184	1
999	1185	0
